1,2,"[55, 16]"
2,29,"[10463560, 5626817, 2212041, 910689, 318092, 277380, 220232, 140956, 120040, 114453, 110737, 40914, 37093, 9615, 5878, 1848, 968, 901, 2, 352, 351, 350, 349, 348, 302, 271, 248, 9, 7]"
16,3,"[8508056, 3905532, 816]"
20,9,"[3004866, 863771, 132902, 80553, 42478, 8339, 3553, 3552, 39]"
68,9,"[14084509, 5085577, 2510211, 1810617, 784297, 270, 24, 23, 20]"
75,159,"[16224852, 16209988, 16185353, 15982357, 15909658, 15853433, 15842924, 15822048, 15752720, 15743575, 15674295, 15649589, 15313873, 15247371, 15188118, 15171357, 15016298, 14821755, 14942091, 14827508, 14777414, 14741728, 14609511, 14611382, 14601254, 14362520, 14181466, 14104453, 13775981, 13810089, 13248137, 13091506, 12676229, 12324057, 11897350, 11593753, 11536313, 11355491, 11295232, 10758075, 10555089, 10463374, 10373904, 10320552, 10241481, 9911193, 9868221, 9337666, 9181013, 9124259, 8827507, 8760954, 8741797, 8622646, 8622656, 8605805, 8451556, 8336932, 8289028, 8264288, 8224986, 8214354, 8172319, 8149342, 8144308, 7944045, 7892661, 7814008, 7265586, 7092385, 7075235, 7019390, 6969709, 6949227, 6933623, 6904331, 6823817, 5338603, 5114473, 4946884, 4946732, 4809837, 4752123, 4750880, 4661840, 4570344, 4284863, 3066917, 2725189, 2675205, 2662155, 2657952, 2564802, 2558700, 2526886, 2393667, 2368393, 2347783, 2341226, 2338952, 2337249, 2325874, 2069019, 2065519, 2061436, 2056703, 1887170, 1884540, 1881948, 1713503, 1669240, 1668755, 1664707, 1661412, 1658835, 1655045, 1651787, 1649842, 1646761, 1644271, 1641375, 1637770, 1636542, 1630272, 1628175, 1625107, 1623787, 1621162, 1619195, 1618285, 1618275, 1616984, 1613081, 1610328, 1607084, 1604208, 1600995, 1539601, 1527855, 1526053, 1524906, 1523228, 1522366, 1520085, 1518858, 1514809, 1510722, 1506500, 1503526, 1499758, 1477378, 1457095, 1189740, 2111, 345, 329, 153, 102, 100]"
79,1035,"[16221931, 15582813, 14674891, 13267353, 12787006, 12183295, 11338616, 10198981, 9954509, 9378143, 9231696, 9068914, 8611028, 8521530, 8393253, 8329259, 8227958, 8212630, 8110926, 8002001, 7952109, 7873338, 7689360, 7652516, 7547361, 7512134, 7444837, 7290526, 7243161, 7106743, 7047293, 7037505, 6964007, 6853650, 6758017, 6712007, 6578833, 6480926, 6445468, 6393469, 6347673, 6281981, 6208967, 6110750, 5808592, 5775504, 5724785, 5677637, 5620333, 5528895, 5438282, 5396660, 5356408, 5181486, 5156002, 5132474, 5110364, 5042288, 4925998, 4911836, 4868783, 4848007, 4798665, 4767836, 4742391, 4718870, 4618678, 4534036, 4521978, 4499490, 4457581, 4445356, 4392052, 4328256, 4291204, 4224456, 4131854, 4085917, 4028518, 3989117, 3928723, 3863507, 3844408, 3767906, 3739595, 3730068, 3692809, 3667727, 3642867, 3584958, 3577963, 3572383, 3545503, 3514025, 3508466, 3500613, 3492250, 3477729, 3472346, 3446433, 3440509, 3429897, 3418911, 3400000, 3389845, 3371425, 3334414, 3326815, 3293364, 3287386, 3254271, 3248736, 3244445, 3235654, 3224533, 3218027, 3208613, 3182714, 3171448, 3163822, 3138827, 3134444, 3129861, 3121060, 3101725, 3077546, 3061471, 3049093, 3023253, 3009575, 2996803, 2977813, 2968926, 2952618, 2941318, 2938353, 2910701, 2876285, 2838745, 2833097, 2800508, 2788459, 2750619, 2728435, 2718647, 2706997, 2701465, 2689523, 2685328, 2678519, 2663041, 2656824, 2630595, 2626247, 2625867, 2615089, 2610369, 2604602, 2599396, 2595223, 2585280, 2580363, 2575666, 2570772, 2561067, 2556186, 2551662, 2538221, 2534061, 2528238, 2498283, 2488909, 2476908, 2476888, 2461118, 2455980, 2428363, 2404484, 2394169, 2390881, 2369054, 2354253, 2334477, 2323435, 2314334, 2298189, 2294816, 2274915, 2268174, 2254499, 2251318, 2248477, 2240138, 2228600, 2221326, 2207528, 2201035, 2197163, 2185381, 2149461, 2141386, 2134526, 2123366, 2118097, 2106008, 2102755, 2089002, 2084340, 2069859, 2062981, 2049104, 2043553, 2011516, 2011492, 1993822, 1960743, 1947452, 1946383, 1929769, 1910138, 1896667, 1882772, 1872480, 1869636, 1852568, 1851513, 1842451, 1828212, 1825500, 1823062, 1820585, 1811446, 1796933, 1792991, 1788673, 1768579, 1753144, 1735162, 1718416, 1717131, 1713417, 1713404, 1710065, 1702588, 1692596, 1689446, 1685389, 1678041, 1672820, 1669111, 1664025, 1651320, 1645762, 1643204, 1638092, 1630753, 1620243, 1614589, 1606404, 1606253, 1591100, 1583258, 1575932, 1572132, 1569667, 1556270, 1549666, 1541890, 1539927, 1529363, 1517945, 1500820, 1498060, 1483670, 1479279, 1479263, 1474425, 1461128, 1452567, 1447882, 1444056, 1439139, 1435226, 1400707, 1397331, 1384866, 1380220, 1376057, 1372179, 1371118, 1352261, 1349159, 1335896, 1331888, 1329284, 1309658, 1308494, 1298045, 1291098, 1287957, 1280623, 1276833, 1274279, 1266990, 1254803, 1242448, 1239723, 1222953, 1217362, 1204813, 1202318, 1198620, 1181414, 1174801, 1168329, 1168228, 1165880, 1159778, 1157344, 1155460, 1153061, 1149259, 1146998, 1139630, 1133957, 1131322, 1129005, 1126612, 1121705, 1106656, 1094590, 1087044, 1087037, 1085111, 1081231, 1079561, 1077982, 1075822, 1071240, 1069529, 1067992, 1066843, 1064809, 1061182, 1058284, 1054276, 1046751, 1045471, 1044407, 1041056, 1039534, 1036561, 1034729, 1032638, 1029862, 1027099, 1021299, 1018573, 1010530, 1006255, 1004927, 1001911, 999741, 999734, 996313, 992839, 989103, 986175, 982642, 980463, 974500, 973375, 971816, 970191, 970121, 968636, 967839, 966576, 964370, 964110, 961493, 959827, 953702, 952051, 939886, 939423, 937680, 934554, 934228, 932925, 930622, 929680, 927951, 926411, 924511, 920102, 918185, 917142, 913336, 911073, 908302, 906364, 903465, 903111, 892803, 890793, 889110, 883303, 880269, 878034, 875928, 874578, 873702, 870770, 862034, 860996, 859980, 858888, 846041, 843912, 843910, 840448, 839109, 837317, 836041, 834899, 834104, 833803, 833115, 826608, 825824, 820560, 816583, 814463, 810932, 810449, 808948, 804698, 803236, 801794, 800353, 799208, 799206, 798038, 795999, 794858, 791922, 786379, 785805, 783994, 781182, 779729, 778081, 776925, 775647, 773409, 773378, 765615, 764311, 763080, 762206, 758384, 757373, 755274, 755273, 753114, 751618, 748826, 746469, 746435, 745270, 744449, 742750, 741200, 739337, 737807, 737657, 735908, 735902, 734267, 732252, 728471, 728346, 727073, 726196, 719949, 719948, 711742, 705697, 703413, 699372, 697698, 697345, 695226, 691338, 689268, 685489, 683412, 683349, 681836, 679397, 677444, 675503, 675501, 669716, 662586, 660667, 660268, 658809, 656993, 655452, 653556, 648563, 644973, 642157, 641617, 639975, 633549, 632906, 626591, 624773, 624628, 620299, 618456, 617104, 615649, 613918, 611173, 606266, 604773, 604753, 602562, 598493, 596997, 595753, 593350, 590974, 588815, 588627, 587213, 584797, 579505, 571957, 571816, 568602, 567715, 565803, 564367, 563588, 559344, 558403, 557581, 556020, 551485, 548790, 548788, 544167, 542248, 539997, 538960, 538254, 536320, 534947, 534025, 532523, 530191, 527145, 526750, 524400, 523635, 521968, 521477, 521473, 520204, 520194, 519233, 519138, 514850, 514286, 513765, 513092, 512857, 509810, 508306, 505118, 504305, 500074, 499501, 499131, 497781, 496574, 493296, 492277, 491184, 491117, 490810, 488869, 488250, 486370, 484750, 484307, 483027, 482223, 480978, 480954, 478724, 477458, 476038, 474689, 474032, 473486, 472800, 472094, 471184, 470879, 466628, 465893, 465323, 465321, 464652, 464610, 463407, 462543, 460926, 460922, 460914, 459911, 459569, 458915, 457611, 457605, 455643, 454539, 453497, 452526, 449124, 448787, 448463, 443611, 440878, 438639, 437839, 436235, 435963, 434701, 434005, 431510, 430227, 429856, 419885, 418786, 417575, 416855, 414074, 413583, 413543, 410606, 407371, 405643, 404850, 404700, 403645, 403627, 399697, 396648, 395899, 395591, 394912, 394246, 392899, 392091, 390142, 386575, 385841, 384397, 381769, 381022, 380866, 378014, 377373, 376619, 372675, 367798, 364439, 363815, 359961, 356851, 356307, 352415, 348842, 346816, 341428, 325044, 313570, 312391, 307908, 306546, 304030, 301481, 299733, 296938, 295878, 295537, 293768, 291799, 290665, 289561, 289409, 286401, 285272, 284599, 284235, 283555, 282024, 281145, 280915, 279974, 279159, 279072, 278251, 276939, 276784, 276132, 275484, 272424, 271654, 270939, 269748, 268336, 268134, 267079, 266355, 263934, 263204, 261532, 261103, 258306, 256769, 256612, 256183, 256033, 254907, 254582, 253979, 253696, 253086, 252459, 251203, 250534, 249343, 248315, 247128, 246670, 245588, 245568, 245263, 245072, 244706, 244658, 244652, 243843, 242536, 238578, 238093, 234995, 229461, 229147, 228476, 227965, 225190, 224299, 224146, 223703, 222752, 220732, 219396, 218619, 216176, 215794, 215155, 214637, 213873, 213795, 212854, 212090, 212085, 210924, 210709, 210704, 210086, 208893, 205648, 204846, 201903, 201881, 201015, 200690, 200044, 198031, 198016, 197548, 196992, 194570, 194164, 193230, 190798, 190602, 188079, 187855, 187010, 185788, 185308, 184996, 183805, 183633, 182581, 182277, 182242, 182180, 181126, 180130, 180037, 179707, 179556, 179244, 178961, 178487, 176198, 175787, 175644, 175316, 173790, 173706, 172353, 171856, 171805, 171651, 170642, 170592, 169112, 168491, 168323, 167290, 166576, 166494, 165416, 164985, 164552, 163721, 163312, 162114, 162103, 161603, 158736, 158681, 158099, 157781, 156909, 155273, 154780, 154604, 152758, 152249, 151867, 150904, 148359, 146405, 146025, 145549, 144966, 143444, 140576, 137613, 137499, 137231, 133825, 132380, 131664, 131571, 130823, 130042, 126227, 124686, 122821, 122490, 119801, 118830, 117899, 116756, 116412, 114760, 114147, 111958, 111245, 110068, 108273, 105179, 103785, 102805, 102798, 102543, 98806, 98154, 97895, 96261, 95880, 94772, 94606, 93699, 93351, 89010, 88294, 87245, 86549, 86377, 85352, 85343, 83685, 83524, 83159, 82374, 81978, 81484, 80767, 80576, 78433, 76274, 75411, 74011, 72946, 71710, 71709, 71264, 70980, 70388, 70000, 69437, 69070, 68989, 68604, 67761, 67589, 67108, 66943, 66841, 65624, 64461, 64346, 63366, 62940, 62574, 62313, 61330, 60554, 60213, 58236, 56970, 56546, 56291, 55975, 55231, 55045, 54952, 54113, 53013, 52921, 52153, 51832, 51420, 50886, 50563, 50162, 49069, 48747, 48427, 47640, 46073, 45753, 45526, 44961, 43876, 43523, 43381, 42075, 42051, 40670, 39401, 38172, 37859, 37538, 37396, 36428, 35040, 34413, 34090, 34086, 33798, 32593, 31903, 31628, 30405, 29981, 29596, 29127, 28609, 28272, 28051, 27320, 26962, 26313, 26312, 26182, 25679, 22875, 22056, 21349, 20466, 20039, 17886, 17035, 17031, 17029, 13573, 12749, 12067, 10062, 8975, 8491, 7098, 5545, 5451, 5194, 5019, 31, 28]"
97,509,"[2165890, 769592, 755217, 694424, 601066, 580163, 550420, 517688, 409064, 385372, 364937, 364933, 352783, 324215, 313888, 298038, 297985, 297946, 296909, 296884, 296156, 296152, 295759, 295080, 275984, 274537, 273176, 272606, 272249, 269848, 269108, 244521, 244502, 230828, 230825, 221877, 215571, 215568, 212266, 208523, 204505, 204500, 203613, 197292, 196648, 196638, 189248, 186973, 186924, 184296, 177484, 177443, 176333, 175356, 172943, 172937, 172626, 172462, 172099, 172076, 170590, 170589, 169266, 167756, 165993, 165566, 163810, 163701, 163043, 163041, 160374, 156618, 156613, 152280, 152007, 152006, 151083, 149149, 147541, 146820, 142694, 142692, 142690, 140221, 136289, 135863, 135389, 135271, 135249, 135235, 132497, 132471, 132461, 132417, 132010, 130940, 130445, 130007, 129952, 129945, 129082, 128612, 128601, 128576, 127806, 127190, 126363, 125538, 122502, 121218, 121210, 120603, 120554, 119704, 119100, 117333, 116284, 115063, 114847, 114246, 113974, 113973, 113928, 113856, 113258, 112420, 112278, 112259, 112074, 112072, 110095, 109574, 109533, 109067, 109045, 109043, 108714, 108711, 107355, 106594, 106586, 106582, 106364, 105815, 105540, 105315, 105287, 104550, 104548, 102979, 102435, 101609, 101226, 99645, 99628, 99499, 99342, 99319, 99215, 99213, 98990, 98585, 98091, 98086, 97150, 96957, 96895, 96316, 95758, 95532, 95513, 94320, 93633, 93108, 92872, 92862, 92462, 92281, 91535, 91444, 90970, 90480, 89657, 88835, 88766, 88582, 88579, 88566, 88184, 87898, 87710, 87520, 86548, 86294, 86212, 85189, 85062, 84815, 84205, 83533, 83348, 82463, 82460, 81935, 81486, 80893, 80690, 79264, 79246, 78287, 77958, 77661, 77279, 77278, 77267, 76413, 75719, 75715, 73998, 71721, 71718, 71701, 70253, 69996, 69984, 69190, 69187, 69073, 67681, 66764, 66609, 66599, 66591, 66363, 63515, 62616, 62193, 62056, 61683, 61322, 61314, 61311, 60826, 60232, 60226, 60219, 59805, 59522, 56218, 55633, 55631, 55318, 55243, 54768, 53855, 53825, 53679, 53079, 52178, 51852, 51570, 51291, 46866, 46565, 46231, 45629, 45270, 45095, 44947, 44906, 44866, 44796, 44791, 44787, 43713, 43604, 43602, 43600, 43425, 42904, 42621, 42618, 42432, 42394, 42126, 41152, 40781, 40639, 40619, 40012, 39942, 39558, 39424, 39416, 39406, 39290, 38752, 38684, 38652, 38165, 37874, 37871, 37867, 36998, 36996, 36688, 36681, 36662, 36574, 36551, 36438, 35937, 35931, 35437, 35272, 35179, 35000, 34999, 34517, 34201, 34001, 33948, 33850, 33776, 33462, 33425, 32815, 32680, 32664, 32457, 32048, 31845, 31778, 31704, 31588, 31145, 30632, 30417, 29624, 29156, 29070, 28667, 27885, 27478, 27474, 27472, 26968, 25544, 25306, 24732, 24715, 24621, 24611, 24604, 24603, 24599, 24392, 24307, 24306, 24304, 24179, 23620, 23618, 23187, 22684, 21786, 21780, 21564, 21477, 21409, 21392, 21390, 21315, 20774, 20772, 20530, 20478, 20458, 20444, 20158, 19999, 19800, 19735, 19673, 19667, 19661, 19014, 18940, 18525, 18524, 18328, 18079, 18050, 18016, 18010, 17173, 17172, 17169, 16877, 16467, 16024, 15796, 15630, 15577, 13929, 13915, 13667, 13514, 13454, 13453, 13272, 13266, 13228, 12903, 12818, 12816, 12363, 11840, 11614, 11555, 11464, 11361, 11283, 11281, 11278, 11172, 11030, 10896, 10774, 10662, 10610, 10488, 10487, 10412, 10401, 10400, 10268, 10265, 10264, 10123, 9374, 8846, 8670, 8312, 8310, 8131, 7785, 7784, 7783, 7613, 7612, 7482, 7481, 7479, 6827, 6416, 6414, 6413, 5916, 5914, 5913, 5621, 5553, 5380, 5379, 5178, 5175, 4945, 4862, 4861, 4763, 4762, 4755, 4648, 4560, 4559, 4558, 4498, 4456, 4455, 4453, 4441, 4424, 4300, 4269, 4268, 4263, 4262, 4050, 3997, 3958, 3957, 3953, 3872, 3614, 3525, 3218, 2848, 2516, 2020, 1581, 1547, 1494, 1391, 1352, 1340, 1189, 1099, 1086]"
109,43,"[879265, 832220, 650537, 527967, 468495, 394011, 393650, 366658, 344365, 342988, 316739, 303087, 281337, 262717, 252490, 244921, 243816, 229369, 228667, 224280, 222466, 220554, 209345, 158011, 119552, 110397, 75179, 48491, 36983, 32171, 28854, 22700, 21596, 19810, 16671, 9616, 6305, 5577, 4226, 3565, 1878, 1400, 1303]"
125,0,[]
